-1.0,-0.36236, error: 2.24552332639405e-06
-0.98,-0.37835, error: 0.0025781846191818003
-0.96,-0.39411, error: 0.005232206723073229
-0.94,-0.40964, error: 0.007953699034658257
-0.92,-0.42495, error: 0.010736589585512324
-0.9,-0.44002, error: 0.013574859113077598
-0.88,-0.45487, error: 0.016462543954540276
-0.86,-0.46948, error: 0.01939373891282803
-0.84,-0.48386, error: 0.022362600093578322
-0.82,-0.498, error: 0.02536334771194937
-0.8,-0.51191, error: 0.028390268868139446
-0.78,-0.52558, error: 0.03143772029051717
-0.76,-0.53902, error: 0.03450013104525684
-0.74,-0.55222, error: 0.03757200521139836
-0.72,-0.56517, error: 0.04064792452026289
-0.7,-0.57789, error: 0.043722550958164685
-0.68,-0.59036, error: 0.04679062933138034
-0.66,-0.60259, error: 0.049846989792352026
-0.64,-0.61458, error: 0.052886550326108006
-0.62,-0.62632, error: 0.05590431919591354
-0.6,-0.63781, error: 0.0588953973471652
-0.58,-0.64906, error: 0.061854980768577206
-0.56,-0.66006, error: 0.06477836280970517
-0.54,-0.67081, error: 0.06766093645388782
-0.52,-0.68131, error: 0.070498196545695
-0.5,-0.69156, error: 0.07328574197198845
-0.48,-0.70155, error: 0.07601927779572792
-0.46,-0.7113, error: 0.07869461734166505
-0.44,-0.72079, error: 0.08130768423309254
-0.42,-0.73002, error: 0.08385451437883418
-0.4,-0.739, error: 0.08633125790967855
-0.38,-0.74773, error: 0.08873418106348718
-0.36,-0.7562, error: 0.0910596680182163
-0.34,-0.7644, error: 0.09330422267212446
-0.32,-0.77235, error: 0.09546447037045014
-0.3,-0.78005, error: 0.09753715957787279
-0.28,-0.78748, error: 0.09951916349608414
-0.26,-0.79465, error: 0.10140748162582525
-0.24,-0.80155, error: 0.10319924127276348
-0.22,-0.8082, error: 0.10489169899660833
-0.2,-0.81458, error: 0.10648224200288503
-0.18,-0.8207, error: 0.10796838947681009
-0.16,-0.82655, error: 0.10934779385873461
-0.14,-0.83214, error: 0.11061824206064597
-0.12,-0.83746, error: 0.1117776566232408
-0.1,-0.84251, error: 0.11282409681310579
-0.08,-0.8473, error: 0.11375575965957074
-0.06,-0.85182, error: 0.1145709809308132
-0.04,-0.85607, error: 0.11526823604882963
-0.02,-0.86005, error: 0.11584614094290546
0.0,-0.86376, error: 0.11630345284124166
0.02,-0.8672, error: 0.11663907100042137
0.04,-0.87038, error: 0.11685203737242689
0.06,-0.87327, error: 0.11694153720893741
0.08,-0.8759, error: 0.1169068996026662
0.1,-0.87826, error: 0.1167475979655258
0.12,-0.88034, error: 0.11646325044341943
0.14,-0.88215, error: 0.1160536202675041
0.16,-0.88368, error: 0.11551861604177793
0.18,-0.88494, error: 0.1148582919668778
0.2,-0.88593, error: 0.11407284800000006
0.22,-0.88664, error: 0.11316262995087789
0.24,-0.88707, error: 0.11212812951377793
0.26,-0.88723, error: 0.11096998423550442
0.28,-0.88711, error: 0.10968897741941941
0.3,-0.88672, error: 0.10828603796552572
0.32,-0.88605, error: 0.10676224014666624
0.34,-0.8851, error: 0.10511880332093715
0.36,-0.88387, error: 0.10335709158042705
0.38,-0.88237, error: 0.1014786133364215
0.4,-0.88058, error: 0.09948502084124167
0.42,-0.87852, error: 0.09737810964690541
0.44,-0.87618, error: 0.09515981800082962
0.46,-0.87356, error: 0.09283222617881315
0.48,-0.87066, error: 0.09039755575557096
0.5,-0.86748, error: 0.08785816881310593
0.52,-0.86402, error: 0.08521656708724079
0.54,-0.86028, error: 0.08247539105264612
0.56,-0.85626, error: 0.07963741894673482
0.58,-0.85196, error: 0.07670556573281029
0.6,-0.84738, error: 0.07368288200288498
0.62,-0.84252, error: 0.07057255282060815
0.64,-0.83737, error: 0.06737789650476345
0.66,-0.83195, error: 0.06410236335382513
0.68,-0.82625, error: 0.060749534312084186
0.7,-0.82026, error: 0.05732311957787273
0.72,-0.81399, error: 0.05382695715444985
0.74,-0.80744, error: 0.0502650113441242
0.76,-0.80061, error: 0.04664137118621614
0.78,-0.7935, error: 0.042960248839487014
0.8,-0.78611, error: 0.03922597790967819
0.82,-0.77844, error: 0.03544301172283382
0.84,-0.77048, error: 0.03161592154509263
0.86,-0.76224, error: 0.02774939474966487
0.88,-0.75372, error: 0.023848232931727775
0.9,-0.74492, error: 0.019917349971988352
0.92,-0.73584, error: 0.015961770049695012
0.94,-0.72648, error: 0.011986625605887702
0.96,-0.71684, error: 0.007997155257705169
0.98,-0.70691, error: 0.0039987016645771645
1.0,-0.69671, error: 3.2906528345533204e-06
