-1.0,0.0, error: 0.0
-0.98,0.0297, error: 0.009900000000000086
-0.96,0.0588, error: 0.01960000000000002
-0.94,0.0873, error: 0.02910000000000028
-0.92,0.1152, error: 0.038400000000000295
-0.9,0.1425, error: 0.04750000000000015
-0.88,0.1692, error: 0.056400000000000394
-0.86,0.1953, error: 0.06510000000000063
-0.84,0.2208, error: 0.07359999999999989
-0.82,0.2457, error: 0.08189999999999953
-0.8,0.27, error: 0.08999999999999947
-0.78,0.2937, error: 0.09789999999999954
-0.76,0.3168, error: 0.10560000000000008
-0.74,0.3393, error: 0.11309999999999998
-0.72,0.3612, error: 0.12040000000000023
-0.7,0.3825, error: 0.12750000000000006
-0.68,0.4032, error: 0.1344000000000003
-0.66,0.4233, error: 0.14110000000000023
-0.64,0.4428, error: 0.14759999999999973
-0.62,0.4617, error: 0.15389999999999981
-0.6,0.48, error: 0.1599999999999996
-0.58,0.4977, error: 0.1659
-0.56,0.5148, error: 0.17159999999999986
-0.54,0.5313, error: 0.1770999999999998
-0.52,0.5472, error: 0.18240000000000012
-0.5,0.5625, error: 0.1875
-0.48,0.5772, error: 0.19240000000000013
-0.46,0.5913, error: 0.19709999999999994
-0.44,0.6048, error: 0.2016
-0.42,0.6177, error: 0.2059000000000002
-0.4,0.63, error: 0.2100000000000003
-0.38,0.6417, error: 0.2139000000000002
-0.36,0.6528, error: 0.21760000000000002
-0.34,0.6633, error: 0.22110000000000007
-0.32,0.6732, error: 0.22440000000000027
-0.3,0.6825, error: 0.22749999999999992
-0.28,0.6912, error: 0.23040000000000005
-0.26,0.6993, error: 0.23310000000000008
-0.24,0.7068, error: 0.23559999999999992
-0.22,0.7137, error: 0.2379
-0.2,0.72, error: 0.23999999999999977
-0.18,0.7257, error: 0.2418999999999999
-0.16,0.7308, error: 0.24359999999999982
-0.14,0.7353, error: 0.24509999999999965
-0.12,0.7392, error: 0.24639999999999973
-0.1,0.7425, error: 0.24749999999999983
-0.08,0.7452, error: 0.24839999999999995
-0.06,0.7473, error: 0.24909999999999988
-0.04,0.7488, error: 0.24960000000000004
-0.02,0.7497, error: 0.2499
0.0,0.75, error: 0.25
0.02,0.7497, error: 0.2499
0.04,0.7488, error: 0.24960000000000004
0.06,0.7473, error: 0.24909999999999988
0.08,0.7452, error: 0.24840000000000007
0.1,0.7425, error: 0.24750000000000005
0.12,0.7392, error: 0.24639999999999984
0.14,0.7353, error: 0.24509999999999998
0.16,0.7308, error: 0.24359999999999993
0.18,0.7257, error: 0.2419
0.2,0.72, error: 0.23999999999999977
0.22,0.7137, error: 0.2379
0.24,0.7068, error: 0.23559999999999992
0.26,0.6993, error: 0.23310000000000008
0.28,0.6912, error: 0.23040000000000005
0.3,0.6825, error: 0.22749999999999992
0.32,0.6732, error: 0.22439999999999993
0.34,0.6633, error: 0.22109999999999985
0.36,0.6528, error: 0.2175999999999998
0.38,0.6417, error: 0.2139000000000002
0.4,0.63, error: 0.21000000000000008
0.42,0.6177, error: 0.20589999999999997
0.44,0.6048, error: 0.2016
0.46,0.5913, error: 0.19709999999999994
0.48,0.5772, error: 0.19240000000000013
0.5,0.5625, error: 0.1875
0.52,0.5472, error: 0.18240000000000012
0.54,0.5313, error: 0.17709999999999992
0.56,0.5148, error: 0.17159999999999997
0.58,0.4977, error: 0.16590000000000005
0.6,0.48, error: 0.1599999999999997
0.62,0.4617, error: 0.15390000000000004
0.64,0.4428, error: 0.14760000000000018
0.66,0.4233, error: 0.14110000000000006
0.68,0.4032, error: 0.13440000000000024
0.7,0.3825, error: 0.12749999999999995
0.72,0.3612, error: 0.12040000000000023
0.74,0.3393, error: 0.11309999999999998
0.76,0.3168, error: 0.10560000000000008
0.78,0.2937, error: 0.0978999999999996
0.8,0.27, error: 0.08999999999999986
0.82,0.2457, error: 0.08189999999999961
0.84,0.2208, error: 0.07360000000000022
0.86,0.1953, error: 0.06509999999999999
0.88,0.1692, error: 0.056400000000000006
0.9,0.1425, error: 0.04750000000000004
0.92,0.1152, error: 0.03840000000000007
0.94,0.0873, error: 0.029099999999999987
0.96,0.0588, error: 0.01959999999999997
0.98,0.0297, error: 0.009900000000000058
1.0,0.0, error: 0.0
